day,epsilon_greedy,ewf,gradient,ucb
1,170000.0,182000.0,182000.0,126000.0
2,220569.33333333334,218236.0,253284.66666666666,151569.33333333334
3,326081.3333333333,395169.3333333333,319040.6666666667,291646.0
4,427194.0,524731.0,438198.6666666667,414323.3333333333
5,528114.0,641191.0,562118.6666666666,539923.3333333334
6,630990.6666666666,733572.6666666666,720890.3333333334,629828.3333333334
7,782265.3333333334,943982.6666666666,831203.6666666666,710278.3333333334
8,956043.6666666666,1121283.3333333333,935203.6666666666,888262.0
9,1033707.6666666666,1207418.6666666667,1023063.0,967540.6666666666
10,1066460.3333333333,1295214.3333333333,1055279.6666666667,968047.6666666666
11,1127595.6666666667,1388135.0,1111081.6666666667,992846.6666666666
12,1215480.3333333333,1475981.3333333333,1193633.0,1099302.0
13,1291240.6666666667,1559447.3333333333,1271664.3333333333,1223614.0
14,1385826.6666666667,1684726.3333333333,1339640.3333333333,1301590.0
15,1460770.3333333333,1788244.6666666667,1405334.3333333333,1354950.6666666667
16,1575376.0,1865068.0,1471756.3333333333,1435706.0
17,1666698.6666666667,1939040.0,1523036.3333333333,1544743.0
18,1715291.3333333333,2019097.0,1570407.6666666667,1584009.0
19,1777050.0,2109180.3333333335,1645833.0,1661628.3333333333
20,1845638.6666666667,2185718.3333333335,1705421.6666666667,1755344.6666666667
21,1966563.6666666667,2285135.3333333335,1790311.6666666667,1869733.6666666667
22,2062766.3333333333,2349446.0,1872450.3333333333,1938377.6666666667
23,2158921.0,2491552.6666666665,1972991.6666666667,2043585.6666666667
24,2238395.6666666665,2580528.6666666665,2043493.0,2119393.6666666665
25,2334950.3333333335,2717526.0,2140214.3333333335,2228560.3333333335
26,2422950.3333333335,2826294.3333333335,2232881.3333333335,2345662.3333333335
27,2515353.6666666665,2929357.6666666665,2333076.3333333335,2468850.6666666665
28,2647097.0,3119297.3333333335,2441003.0,2588530.3333333335
29,2741136.6666666665,3260284.6666666665,2533376.0,2693105.0
30,2833634.3333333335,3398549.6666666665,2625540.3333333335,2805105.0
31,2924980.6666666665,3544922.0,2716553.3333333335,2865105.0
