day,inventory_before,order_up_to,order_quantity,demand,sales,inventory_after,profit,cumulative_profit
1,0,33000,33000,47995,33000,0,198000.0,198000.0
2,0,33000,33000,20714,20714,12286,62854.0,260854.0
3,12286,33000,20714,22284,22284,10716,129268.0,390122.0
4,10716,22000,11284,22255,22000,0,174864.0,564986.0
5,0,22000,22000,24400,22000,0,132000.0,696986.0
6,0,22000,22000,23265,22000,0,132000.0,828986.0
7,0,22000,22000,29452,22000,0,132000.0,960986.0
8,0,22000,22000,36541,22000,0,132000.0,1092986.0
9,0,22000,22000,23598,22000,0,132000.0,1224986.0
10,0,22000,22000,13411,13411,8589,37521.0,1262507.0
11,8589,33000,24411,13577,13577,19423,18703.0,1281210.0
12,19423,22000,2577,17285,17285,4715,157827.0,1439037.0
13,4715,22000,17285,18017,18017,3983,107047.0,1546084.0
14,3983,22000,18017,16912,16912,5088,91964.0,1638048.0
15,5088,22000,16912,16199,16199,5801,88541.0,1726589.0
16,5801,22000,16199,16039,16039,5961,89633.0,1816222.0
17,5961,43000,37039,13916,13916,29084,-38080.0,1778142.0
18,29084,22000,0,12611,12611,16473,109637.0,1887779.0
19,16473,22000,5527,15962,15962,6038,131474.0,2019253.0
20,6038,22000,15962,15021,15021,6979,79383.0,2098636.0
21,6979,22000,15021,18129,18129,3871,117335.0,2215971.0
22,3871,22000,18129,18884,18884,3116,113208.0,2329179.0
23,3116,22000,18884,23336,22000,0,144464.0,2473643.0
24,0,22000,22000,18584,18584,3416,94424.0,2568067.0
25,3416,22000,18584,22076,22000,0,145664.0,2713731.0
26,0,42000,42000,22755,22755,19245,40305.0,2754036.0
27,19245,22000,2755,25055,22000,0,208980.0,2963016.0
28,0,22000,22000,29569,22000,0,132000.0,3095016.0
29,0,22000,22000,24829,22000,0,132000.0,3227016.0
30,0,22000,22000,23619,22000,0,132000.0,3359016.0
31,0,22000,22000,22865,22000,0,132000.0,3491016.0
