day,inventory_before,order_up_to,order_quantity,demand,sales,inventory_after,profit,cumulative_profit
1,0,39000,39000,47995,39000,0,234000.0,234000.0
2,0,44000,44000,20714,20714,23286,7854.0,241854.0
3,23286,43000,19714,22284,22284,20716,123268.0,365122.0
4,20716,41000,20284,22255,22255,18745,122669.0,487791.0
5,18745,40000,21255,24400,24400,15600,143380.0,631171.0
6,15600,25000,9400,23265,23265,1735,193315.0,824486.0
7,1735,23000,21265,29452,23000,0,144940.0,969426.0
8,0,24000,24000,36541,24000,0,144000.0,1113426.0
9,0,25000,25000,23598,23598,1402,134578.0,1248004.0
10,1402,25000,23598,13411,13411,11589,28129.0,1276133.0
11,11589,25000,13411,13577,13577,11423,70703.0,1346836.0
12,11423,25000,13577,17285,17285,7715,110827.0,1457663.0
13,7715,25000,17285,18017,18017,6983,104047.0,1561710.0
14,6983,25000,18017,16912,16912,8088,88964.0,1650674.0
15,8088,25000,16912,16199,16199,8801,85541.0,1736215.0
16,8801,25000,16199,16039,16039,8961,86633.0,1822848.0
17,8961,25000,16039,13916,13916,11084,63920.0,1886768.0
18,11084,25000,13916,12611,12611,12389,58057.0,1944825.0
19,12389,25000,12611,15962,15962,9038,100138.0,2044963.0
20,9038,25000,15962,15021,15021,9979,76383.0,2121346.0
21,9979,25000,15021,18129,18129,6871,114335.0,2235681.0
22,6871,25000,18129,18884,18884,6116,110208.0,2345889.0
23,6116,25000,18884,23336,23336,1664,156160.0,2502049.0
24,1664,25000,23336,18584,18584,6416,86080.0,2588129.0
25,6416,25000,18584,22076,22076,2924,143500.0,2731629.0
26,2924,25000,22076,22755,22755,2245,137001.0,2868630.0
27,2245,25000,22755,25055,25000,0,158980.0,3027610.0
28,0,26000,26000,29569,26000,0,156000.0,3183610.0
29,0,27000,27000,24829,24829,2171,138119.0,3321729.0
30,2171,27000,24829,23619,23619,3381,133493.0,3455222.0
31,3381,27000,23619,22865,22865,4135,130039.0,3585261.0
