day,inventory_before,order_up_to,order_quantity,demand,sales,inventory_after,profit,cumulative_profit
1,0,39000,39000,47995,39000,0,234000.0,234000.0
2,0,22000,22000,20714,20714,1286,117854.0,351854.0
3,1286,43000,41714,22284,22284,20716,35268.0,387122.0
4,20716,35000,14284,22255,22255,12745,152669.0,539791.0
5,12745,4000,0,24400,12745,0,127450.0,667241.0
6,0,49000,49000,23265,23265,25735,10915.0,678156.0
7,25735,37000,11265,29452,29452,7548,241912.0,920068.0
8,7548,37000,29452,36541,36541,459,247143.0,1167211.0
9,459,37000,36541,23598,23598,13402,76414.0,1243625.0
10,13402,37000,23598,13411,13411,23589,16129.0,1259754.0
11,23589,37000,13411,13577,13577,23423,58703.0,1318457.0
12,23423,37000,13577,17285,17285,19715,98827.0,1417284.0
13,19715,37000,17285,18017,18017,18983,92047.0,1509331.0
14,18983,37000,18017,16912,16912,20088,76964.0,1586295.0
15,20088,37000,16912,16199,16199,20801,73541.0,1659836.0
16,20801,15000,0,16039,16039,4762,155628.0,1815464.0
17,4762,30000,25238,13916,13916,16084,22124.0,1837588.0
18,16084,5000,0,12611,12611,3473,122637.0,1960225.0
19,3473,37000,33527,15962,15962,21038,4474.0,1964699.0
20,21038,21000,0,15021,15021,6017,144193.0,2108892.0
21,6017,33000,26983,18129,18129,14871,58487.0,2167379.0
22,14871,15000,129,18884,15000,0,149484.0,2316863.0
23,0,45000,45000,23336,23336,21664,31696.0,2348559.0
24,21664,15000,0,18584,18584,3080,182760.0,2531319.0
25,3080,15000,11920,22076,15000,0,102320.0,2633639.0
26,0,15000,15000,22755,15000,0,90000.0,2723639.0
27,0,15000,15000,25055,15000,0,90000.0,2813639.0
28,0,15000,15000,29569,15000,0,90000.0,2903639.0
29,0,15000,15000,24829,15000,0,90000.0,2993639.0
30,0,15000,15000,23619,15000,0,90000.0,3083639.0
31,0,15000,15000,22865,15000,0,90000.0,3173639.0
