algorithm,search_method,params,total_profit,average_daily_profit,pct_of_upper,n_seeds,rank
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3520482.8,113563.96129032258,87.68478653426087,5,1
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3512862.8,113318.15483870967,87.49499493141847,5,2
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3501546.4,112953.10967741936,87.21313696627338,5,3
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3501346.4,112946.65806451613,87.20815555937463,5,4
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.01, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3501146.4,112940.2064516129,87.20317415247588,5,5
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3501146.4,112940.2064516129,87.20317415247588,5,5
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3499308.8,112880.92903225806,87.15740498589017,5,7
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3498706.0,112861.48387096774,87.14239102549733,5,8
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.01, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3498706.0,112861.48387096774,87.14239102549733,5,8
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3497068.4,112808.65806451613,87.10160326581035,5,10
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3496468.4,112789.30322580645,87.08665904511412,5,11
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3496333.0,112784.93548387097,87.08328663264365,5,12
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3496133.0,112778.48387096774,87.07830522574491,5,13
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3496133.0,112778.48387096774,87.07830522574491,5,13
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.01, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3495933.0,112772.03225806452,87.07332381884616,5,15
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3494146.0,112714.3870967742,87.02881494820582,5,16
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3493895.4,112706.30322580645,87.02257324536168,5,17
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3491468.4,112628.0129032258,86.96212387264535,5,18
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3459221.0,111587.7741935484,86.15893676851152,5,19
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3442473.4,111047.52903225805,85.74180371762397,5,20
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3438550.4,110920.98064516128,85.64409342130497,5,21
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3429193.4,110619.14193548387,85.41103829954693,5,22
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3426059.2,110518.03870967742,85.33297467203663,5,23
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3421552.8,110372.67096774193,85.22073361179397,5,24
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3421433.4,110368.8193548387,85.21775971187542,5,25
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3407788.0,109928.64516129032,84.87789326339438,5,26
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3394645.4,109504.69032258065,84.55055007185679,5,27
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3389080.4,109325.17419354839,84.41194242489907,5,28
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3388898.4,109319.30322580645,84.4074093446212,5,29
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3376228.0,108910.58064516129,84.09182725477157,5,30
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3374893.4,108867.52903225805,84.0585863265362,5,31
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0001, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3365172.4,108553.94838709677,83.81646504422243,5,32
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0003, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3362031.0,108452.6129032258,83.73822208606376,5,33
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3345100.8,107906.47741935484,83.31654101067764,5,34
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3340841.2,107769.07096774194,83.21044700654807,5,35
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.001, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3325451.6,107272.63225806452,82.82713770850302,5,36
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3256644.4,105053.04516129031,81.11335440468451,5,37
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3252183.6,104909.14838709678,81.00224910521479,5,38
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3252083.8,104905.92903225806,80.99976338317231,5,39
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3247416.4,104755.36774193548,80.88351229037617,5,40
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3243582.4,104631.69032258065,80.78801872012711,5,41
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.01, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3235306.0,104364.70967741935,80.58187813984303,5,42
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.01, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3230690.8,104215.8322580645,80.46692719424746,5,43
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.01, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3224796.4,104025.69032258065,80.3201151701275,5,44
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.01, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3223599.2,103987.07096774194,80.29029646843159,5,45
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3222106.8,103938.92903225806,80.2531252101531,5,46
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3221843.6,103930.43870967742,80.24656967867435,5,47
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3220962.2,103902.0064516129,80.22461661847156,5,48
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.01, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3218599.2,103825.7806451613,80.16576129596282,5,49
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3217962.2,103805.23225806453,80.1498955149903,5,50
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3217906.8,103803.44516129032,80.14851566527935,5,51
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.003, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3215362.2,103721.36129032259,80.08513722530654,5,52
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.005, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3214306.8,103687.31612903225,80.05885034110183,5,53
