algorithm,search_method,params,total_profit,average_daily_profit,pct_of_upper,rank
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00042919342601287783, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3714498.0,119822.51612903226,92.51712981297308,1
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00042919342601287783, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3694498.0,119177.35483870968,92.01898912309804,2
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0005179474679231213, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3694398.0,119174.12903225806,92.01649841964866,3
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0005179474679231213, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3689262.0,119008.45161290323,91.88857589048875,4
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3687837.0,118962.48387096774,91.85308336633516,5
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0005179474679231213, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3686398.0,118916.06451612903,91.81724214369864,6
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.000244205309454865, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3677817.0,118639.25806451614,91.60351488070776,7
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3675372.0,118560.3870967742,91.54261718137053,8
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00029470517025518097, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3673834.0,118510.7741935484,91.50431016231914,9
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3673372.0,118495.87096774194,91.49280311238303,10
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00013894954943731373, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3673121.0,118487.7741935484,91.4865514467251,11
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00042919342601287783, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3672836.0,118478.58064516129,91.47945294189438,12
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0006250551925273969, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3672262.0,118460.06451612903,91.46515630409496,13
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3670223.0,118394.29032258065,91.4143708607622,14
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0009102981779915217, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3666951.0,118288.74193548386,91.33287504389865,15
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00013894954943731373, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3666834.0,118284.96774193548,91.32996092086287,16
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.000244205309454865, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3666196.0,118264.3870967742,91.31407023285587,17
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0007543120063354615, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3665951.0,118256.48387096774,91.30796800940489,18
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3665534.0,118243.03225806452,91.29758177602099,19
