algorithm,search_method,params,total_profit,average_daily_profit,pct_of_upper,rank
gradient,grid,"{""alpha"": 3.1089553618622863, ""reward_scale"": 10000.0, ""use_baseline"": true}",3624646.0,116924.06451612903,90.27918294964047,1
gradient,grid,"{""alpha"": 4.951289998230568, ""reward_scale"": 10000.0, ""use_baseline"": true}",3484793.0,112412.67741935483,86.79585945458575,2
gradient,grid,"{""alpha"": 20.000000000000004, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 5.782109645659658, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 7.8853729929056495, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 9.208527728773268, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 10.753706008311427, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 6.752339686501559, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 12.558163076585405, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 14.665405557509434, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 17.126240426614046, ""reward_scale"": 10000.0, ""use_baseline"": true}",3477793.0,112186.87096774194,86.6215102131295,3
gradient,grid,"{""alpha"": 2.6622358501432166, ""reward_scale"": 10000.0, ""use_baseline"": true}",3418993.0,110290.09677419355,85.15697658489687,12
gradient,grid,"{""alpha"": 2.2797045620951937, ""reward_scale"": 10000.0, ""use_baseline"": true}",3407463.0,109918.16129032258,84.8697984771839,13
gradient,grid,"{""alpha"": 1.9521384216045568, ""reward_scale"": 10000.0, ""use_baseline"": true}",3405463.0,109853.64516129032,84.8199844081964,14
gradient,grid,"{""alpha"": 1.2257636323289027, ""reward_scale"": 10000.0, ""use_baseline"": true}",3404463.0,109821.3870967742,84.79507737370265,15
gradient,grid,"{""alpha"": 1.0496361336732254, ""reward_scale"": 10000.0, ""use_baseline"": true}",3404463.0,109821.3870967742,84.79507737370265,15
gradient,grid,"{""alpha"": 0.8988160392874615, ""reward_scale"": 10000.0, ""use_baseline"": true}",3404463.0,109821.3870967742,84.79507737370265,15
gradient,grid,"{""alpha"": 1.671639597721523, ""reward_scale"": 10000.0, ""use_baseline"": true}",3404463.0,109821.3870967742,84.79507737370265,15
gradient,grid,"{""alpha"": 1.4314450828613579, ""reward_scale"": 10000.0, ""use_baseline"": true}",3391463.0,109402.03225806452,84.47128592528388,19
gradient,grid,"{""alpha"": 0.7696669794067013, ""reward_scale"": 10000.0, ""use_baseline"": true}",3382463.0,109111.70967741935,84.24712261484011,20
gradient,grid,"{""alpha"": 0.6590750868872473, ""reward_scale"": 10000.0, ""use_baseline"": true}",3382463.0,109111.70967741935,84.24712261484011,20
gradient,grid,"{""alpha"": 0.16316359428938848, ""reward_scale"": 10000.0, ""use_baseline"": false}",3350580.0,108083.2258064516,83.4530116340758,22
gradient,grid,"{""alpha"": 0.6590750868872473, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 1.2257636323289027, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.5643739198611264, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.8988160392874615, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 1.4314450828613579, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.7696669794067013, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 1.0496361336732254, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.4138386210422373, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 1.9521384216045568, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 17.126240426614046, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 14.665405557509434, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
