day,inventory_before,order_up_to,order_quantity,demand,sales,inventory_after,profit,cumulative_profit
1,0,4000,4000,47995,4000,0,24000.0,24000.0
2,0,38000,38000,20714,20714,17286,37854.0,61854.0
3,17286,32000,14714,22284,22284,9716,154268.0,216122.0
4,9716,21000,11284,22255,21000,0,164864.0,380986.0
5,0,20000,20000,24400,20000,0,120000.0,500986.0
6,0,39000,39000,23265,23265,15735,60915.0,561901.0
7,15735,3000,0,29452,15735,0,157350.0,719251.0
8,0,30000,30000,36541,30000,0,180000.0,899251.0
9,0,8000,8000,23598,8000,0,48000.0,947251.0
10,0,3000,3000,13411,3000,0,18000.0,965251.0
11,0,22000,22000,13577,13577,8423,39347.0,1004598.0
12,8423,40000,31577,17285,17285,22715,23827.0,1028425.0
13,22715,29000,6285,18017,18017,10983,144047.0,1172472.0
14,10983,29000,18017,16912,16912,12088,84964.0,1257436.0
15,12088,27000,14912,16199,16199,10801,91541.0,1348977.0
16,10801,29000,18199,16039,16039,12961,74633.0,1423610.0
17,12961,19000,6039,13916,13916,5084,109920.0,1533530.0
18,5084,4000,0,12611,5084,0,50840.0,1584370.0
19,0,31000,31000,15962,15962,15038,20582.0,1604952.0
20,15038,16000,962,15021,15021,979,145383.0,1750335.0
21,979,17000,16021,18129,17000,0,105916.0,1856251.0
22,0,12000,12000,18884,12000,0,72000.0,1928251.0
23,0,6000,6000,23336,6000,0,36000.0,1964251.0
24,0,29000,29000,18584,18584,10416,59424.0,2023675.0
25,10416,25000,14584,22076,22076,2924,159500.0,2183175.0
26,2924,19000,16076,22755,19000,0,125696.0,2308871.0
27,0,12000,12000,25055,12000,0,72000.0,2380871.0
28,0,25000,25000,29569,25000,0,150000.0,2530871.0
29,0,16000,16000,24829,16000,0,96000.0,2626871.0
30,0,13000,13000,23619,13000,0,78000.0,2704871.0
31,0,13000,13000,22865,13000,0,78000.0,2782871.0
